,0,1,2,3,4,5,6
328,26,tt0107091,movie,Heart and Souls,Romance,1993,8.0
329,26,tt0107626,movie,My Boyfriend's Back,Romance,1993,8.0
330,26,tt0107147,movie,A House in the Hills,Romance,1995,4.0
331,26,tt0107364,movie,The last border - viimeisellä rajalla,Romance,1993,8.0
332,26,tt0106353,movie,Bank Robber,Romance,1993,12.0
333,26,tt0107991,movie,Roser og persille,Romance,1993,8.0
334,26,tt0108420,movie,Two Small Bodies,Romance,1993,8.0
335,26,tt0108645,movie,Zalozhniki dyavola,Romance,1993,
336,26,tt0106541,movie,Chandra Mukhi,Romance,1993,10.0
337,26,tt0106661,movie,A Dangerous Woman,Romance,1993,12.0
338,26,tt0107986,movie,Roop Ki Rani Choron Ka Raja,Romance,1993,4.0
339,26,tt0107980,movie,Rol,Romance,1993,
340,26,tt0108263,movie,Svatba upíru,Romance,1993,9.0
341,26,tt0107943,movie,The Remains of the Day,Romance,1994,2.0
342,26,tt0106568,movie,Cheot sarang,Romance,1993,1.0
343,26,tt0106333,movie,Baazigar,Romance,1993,11.0
344,26,tt0106765,movie,Dove siete? Io sono qui,Romance,1993,9.0
345,26,tt0107990,movie,Rosenemil,Romance,1993,8.0
346,26,tt0108235,movie,Strelets neprikayannyy,Romance,2007,1.0
347,26,tt0107777,movie,Parampara,Romance,1993,5.0
348,26,tt0107773,movie,Paper Hearts,Romance,1993,7.0
349,26,tt0108670,movie,Outrage,Romance,1993,10.0
350,26,tt0108420,movie,Two Small Bodies,Thriller,1993,8.0
351,26,tt0106573,movie,Cible émouvante,Thriller,1993,8.0
352,26,tt0106544,movie,Chiu kup gai wak,Thriller,1993,10.0
353,26,tt0108517,movie,Warlock: The Armageddon,Thriller,1993,9.0
354,26,tt0106565,movie,Chu mu jing xin,Thriller,1993,3.0
355,26,tt0107076,movie,Hard Target,Thriller,1993,11.0
356,26,tt0106627,movie,The Crush,Thriller,1993,12.0
357,26,tt0107986,movie,Roop Ki Rani Choron Ka Raja,Thriller,1993,4.0
358,26,tt0107046,movie,Gross Misconduct,Thriller,1993,7.0
359,26,tt0107206,movie,In the Line of Fire,Thriller,1993,9.0
360,26,tt0106333,movie,Baazigar,Thriller,1993,11.0
361,26,tt0106727,movie,Death is Waiting,Thriller,1993,10.0
362,26,tt0106631,movie,Chui fa san lung gau,Thriller,1993,4.0
363,26,tt0107969,movie,Rising Sun,Thriller,1993,11.0
364,26,tt0108670,movie,Outrage,Thriller,1993,10.0
365,26,tt0106977,movie,The Fugitive,Thriller,1993,9.0
366,26,tt0107117,movie,The Hit List,Thriller,1993,1.0
367,26,tt0108311,movie,The Temp,Thriller,1993,2.0
368,26,tt0108510,movie,Wager of Love,Thriller,1993,
369,26,tt0106667,movie,Dark:30,Thriller,1993,
370,26,tt0108409,movie,De tussentijd,Thriller,1993,9.0
371,26,tt0107684,movie,Night Trap,Thriller,1993,4.0
372,26,tt0107798,movie,The Pelican Brief,Thriller,1994,4.0
373,26,tt0107978,movie,RoboCop 3,Thriller,1994,9.0
374,26,tt0107570,movie,Midnight Edition,Thriller,1993,10.0
375,26,tt0107656,movie,Nan yu nu,Thriller,1993,1.0
376,26,tt0108473,movie,The Vanishing,Thriller,1993,10.0
377,26,tt0108237,movie,Strike a Pose,Thriller,1993,
378,26,tt0107606,movie,Mother's Boys,Thriller,1995,2.0
379,26,tt0107665,movie,Needful Things,Thriller,1995,4.0
380,26,tt0107995,movie,Routasydän,Thriller,1993,3.0
381,26,tt0107680,movie,Night Eyes Three,Thriller,1994,5.0
382,26,tt0108059,movie,La scorta,Thriller,1993,4.0
383,26,tt0108171,movie,Sniper,Thriller,1993,1.0
384,26,tt0107917,movie,Rage and Honor II,Thriller,1993,2.0
385,26,tt0108238,movie,Striking Distance,Thriller,1994,7.0
386,26,tt0108403,movie,Tryggare kan ingen vara...,Thriller,1993,3.0
387,26,tt0107763,movie,The Outfit,Thriller,1993,7.0
388,26,tt0107982,movie,Romanovin kivet,Thriller,1993,11.0
389,26,tt0107843,movie,Point of No Return,Thriller,1993,6.0
390,26,tt0108388,movie,The Trial,Thriller,1993,6.0
391,26,tt0107927,movie,The Real McCoy,Thriller,1993,11.0
392,26,tt0107713,movie,Yeuk ji luen,Thriller,1993,11.0
393,26,tt0108472,movie,Válka barev,Thriller,1993,
394,26,tt0109297,movie,Blink,Thriller,1994,6.0
395,26,tt0109099,movie,American Yakuza,Thriller,1993,12.0
396,26,tt0109555,movie,Darr,Thriller,1993,12.0
397,26,tt0109360,movie,CIA II: Target Alexa,Thriller,1993,12.0
398,26,tt0109478,movie,The Cool Surface,Thriller,1994,4.0
399,26,tt0109665,movie,Dream Lover,Thriller,1994,5.0
400,26,tt0445713,short,Si te hubieras quedado,Drama,1994,
401,26,tt0444117,short,El fin del comienzo,Drama,1994,
402,26,tt0444756,short,Anima angelus,Drama,1994,
403,26,tt0443996,short,Disculpe las molestias,Drama,1994,
404,26,tt0443951,short,El club de los 40 millones de jodidos,Drama,1994,
405,26,tt0443935,short,Cataluna nueva,Drama,1994,
406,26,tt0444167,short,El heredero,Drama,1994,
407,26,tt0444829,short,Fuera de lugar,Drama,1994,
408,26,tt0445621,short,Pasamontañas,Drama,1994,
409,26,tt0457569,short,Elysian Fields,Drama,1994,11.0
410,26,tt0461605,short,Union Match,Drama,1994,
411,26,tt0473527,short,A Pretty Strong Word,Drama,1994,
412,26,tt0474608,short,Contar,Drama,1994,
413,26,tt0480928,short,Patricide Elegies,Drama,1994,
414,26,tt0482082,short,The Congress of Wonders,Drama,1994,
415,26,tt0488430,short,Under the Influence,Drama,1994,4.0
416,26,tt0764230,short,Detour,Drama,1994,7.0
417,26,tt0765526,short,Souvenir,Drama,1994,
418,26,tt0814108,short,For Colored Boys Who've Considered Homicide,Drama,1994,5.0
419,26,tt0826054,short,Distrito Picasso,Drama,1994,
420,26,tt0828588,short,Crawl,Drama,1994,10.0
421,26,tt0835482,short,L'innocence interdite,Drama,1994,
